JOHN MAHAMA,,NDC,27106,2012,Abura/Asebu/Kwamankese,,,P
HENRY LARTEY,,GCPP,214,2012,Abura/Asebu/Kwamankese,,,P
NANA AKUFO-ADDO,,NPP,16736,2012,Abura/Asebu/Kwamankese,,,P
PAA KWESI NDUOM,,PPP,721,2012,Abura/Asebu/Kwamankese,,,P
AKWASI ADAE,,UFP,36,2012,Abura/Asebu/Kwamankese,,,P
HASSAN AYARIGA,,PNC,73,2012,Abura/Asebu/Kwamankese,,,P
ABU SAKARA,,CPP,86,2012,Abura/Asebu/Kwamankese,,,P
JACOB OSEI YEBOAH,,IND,67,2012,Abura/Asebu/Kwamankese,,,P
ANTHONY CHRISTIAN DODZE,,NDC,25295,2012,Abura/Asebu/Kwamankese,,,M
JOB ACQUAH MARKIN,,NPP,17045,2012,Abura/Asebu/Kwamankese,,,M
FRANCIS ADUAKOH,,PPP,2687,2012,Abura/Asebu/Kwamankese,,,M
SAMUEL VICTOR ODOOM,,CPP,208,2012,Abura/Asebu/Kwamankese,,,M
KWAME EDU OFORI,,PNC,110,2012,Abura/Asebu/Kwamankese,,,M
JOHN MAHAMA,,NDC,21228,2012,AGONA EAST,,,P
HENRY LARTEY,,GCPP,281,2012,AGONA EAST,,,P
NANA AKUFO-ADDO,,NPP,18879,2012,AGONA EAST,,,P
PAA KWESI NDUOM,,PPP,232,2012,AGONA EAST,,,P
AKWASI ADAE,,UFP,23,2012,AGONA EAST,,,P
HASSAN AYARIGA,,PNC,38,2012,AGONA EAST,,,P
ABU SAKARA,,CPP,40,2012,AGONA EAST,,,P
JACOB OSEI YEBOAH,,IND,45,2012,AGONA EAST,,,P
QUEENSTAR POKUA SAWYERR,,NDC,22689,2012,AGONA EAST,,,M
JOHN AGYABENG,,NPP,18049,2012,AGONA EAST,,,M
ESTHER ABOAGYE,,PPP,246,2012,AGONA EAST,,,M
MUSAH BASHIRU,,IND,93,2012,AGONA EAST,,,M
MAGNUS IDAN,,NDP,56,2012,AGONA EAST,,,M
JOHN MAHAMA,,NDC,27371,2012,AGONA WEST,,,P
HENRY LARTEY,,GCPP,219,2012,AGONA WEST,,,P
NANA AKUFO-ADDO,,NPP,28012,2012,AGONA WEST,,,P
PAA KWESI NDUOM,,PPP,665,2012,AGONA WEST,,,P
AKWASI ADAE,,UFP,34,2012,AGONA WEST,,,P
HASSAN AYARIGA,,PNC,68,2012,AGONA WEST,,,P
ABU SAKARA,,CPP,107,2012,AGONA WEST,,,P
JACOB OSEI YEBOAH,,IND,42,2012,AGONA WEST,,,P
CHARLES OBENG-INKOOM,,NDC,30166,2012,AGONA WEST,,,M
SAMUEL KWEKU OBODAI,,NPP,25397,2012,AGONA WEST,,,M
STEPHEN ATO WILSON,,PPP,704,2012,AGONA WEST,,,M
GEORGE AMPIH-BINEY,,CPP,342,2012,AGONA WEST,,,M
ALFRED KWAME AMPONSAH,,NDP,93,2012,AGONA WEST,,,M
JOHN MAHAMA,,NDC,24416,2012,Ajumako/Enyan/Esiam,,,P
HENRY LARTEY,,GCPP,246,2012,Ajumako/Enyan/Esiam,,,P
NANA AKUFO-ADDO,,NPP,21300,2012,Ajumako/Enyan/Esiam,,,P
PAA KWESI NDUOM,,PPP,394,2012,Ajumako/Enyan/Esiam,,,P
AKWASI ADAE,,UFP,43,2012,Ajumako/Enyan/Esiam,,,P
HASSAN AYARIGA,,PNC,74,2012,Ajumako/Enyan/Esiam,,,P
ABU SAKARA,,CPP,86,2012,Ajumako/Enyan/Esiam,,,P
JACOB OSEI YEBOAH,,IND,46,2012,Ajumako/Enyan/Esiam,,,P
CASSIEL ATO BAAH FORSON,,NDC,24752,2012,Ajumako/Enyan/Esiam,,,M
FESTUS BEEDU-TURKSON,,NPP,21462,2012,Ajumako/Enyan/Esiam,,,M
LEONARD YAKUBU ESSEL-DADZIE,,CPP,446,2012,Ajumako/Enyan/Esiam,,,M
SAMUEL AGGREY FORSON,,IND,174,2012,Ajumako/Enyan/Esiam,,,M
JERRY HENRY QUANSAH,,PPP,163,2012,Ajumako/Enyan/Esiam,,,M
JOHN MAHAMA,,NDC,5574761,2012,Asikuma/Odoben/Brakwa,,,P
HENRY LARTEY,,GCPP,38223,2012,Asikuma/Odoben/Brakwa,,,P
NANA AKUFO-ADDO,,NPP,5248898,2012,Asikuma/Odoben/Brakwa,,,P
PAA KWESI NDUOM,,PPP,64362,2012,Asikuma/Odoben/Brakwa,,,P
AKWASI ADAE,,UFP,8877,2012,Asikuma/Odoben/Brakwa,,,P
HASSAN AYARIGA,,PNC,24617,2012,Asikuma/Odoben/Brakwa,,,P
ABU SAKARA,,CPP,20323,2012,Asikuma/Odoben/Brakwa,,,P
JACOB OSEI YEBOAH,,IND,15201,2012,Asikuma/Odoben/Brakwa,,,P
GEORGINA NKRUMAH ABOAH,,NDC,23812,2012,Asikuma/Odoben/Brakwa,,,M
