JOHN MAHAMA,NDC,49438,2012,ABLEKUMA CENTRAL,P
HENRY LARTEY,GCPP,144,2012,ABLEKUMA CENTRAL,P
NANA AKUFO-ADDO,NPP,45265,2012,ABLEKUMA CENTRAL,P
PAA KWESI NDUOM,PPP,326,2012,ABLEKUMA CENTRAL,P
AKWASI ADAE,UFP,11,2012,ABLEKUMA CENTRAL,P
HASSAN AYARIGA,PNC,39,2012,ABLEKUMA CENTRAL,P
ABU SAKARA,CPP,52,2012,ABLEKUMA CENTRAL,P
JACOB OSEI YEBOAH,IND,23,2012,ABLEKUMA CENTRAL,P
THEOPHILUS TETTEH CHAIE,NDC,46606,2012,ABLEKUMA CENTRAL,M
EBENEZER GILBERT NII NARH,NPP,45265,2012,ABLEKUMA CENTRAL,M
ISHMAEL KABORE AHMED,PPP,1009,2012,ABLEKUMA CENTRAL,M
AHMED RUFAI ABUBAKAR,PNC,698,2012,ABLEKUMA CENTRAL,M
JOSEPHINE ATAA OPPONG,CPP,229,2012,ABLEKUMA CENTRAL,M
OUMOROU SANDA MOUHAMED BINGLE,NDP,228,2012,ABLEKUMA CENTRAL,M
GDLOVE CHARLES KWATELAI QUARTEY,IND,110,2012,ABLEKUMA CENTRAL,M
IBRAHIM AWUDU,DPP,42,2012,ABLEKUMA CENTRAL,M
JOHN MAHAMA,NDC,34802,2012,ABLEKUMA NORTH,P
HENRY LARTEY,GCPP,77,2012,ABLEKUMA NORTH,P
NANA AKUFO-ADDO,NPP,54864,2012,ABLEKUMA NORTH,P
PAA KWESI NDUOM,PPP,457,2012,ABLEKUMA NORTH,P
AKWASI ADAE,UFP,14,2012,ABLEKUMA NORTH,P
HASSAN AYARIGA,PNC,17,2012,ABLEKUMA NORTH,P
ABU SAKARA,CPP,104,2012,ABLEKUMA NORTH,P
JACOB OSEI YEBOAH,IND,10,2012,ABLEKUMA NORTH,P
JUSTICE JOE APPIAH,NPP,53115,2012,ABLEKUMA NORTH,M
RAS MUBARAK,NDC,34534,2012,ABLEKUMA NORTH,M
NANA KWAME MINIMSAAH,IND,1279,2012,ABLEKUMA NORTH,M
ISHMAEL PAA KWESI LONGDON,PPP,728,2012,ABLEKUMA NORTH,M
ODARTEY MILLS,CPP,298,2012,ABLEKUMA NORTH,M
ALI AWUDU,PNC,132,2012,ABLEKUMA NORTH,M
NANA ANTWI-BOASIAKO,NDP,50,2012,ABLEKUMA NORTH,M
JOHN MAHAMA,NDC,35981,2012,ABLEKUMA SOUTH,P
HENRY LARTEY,GCPP,63,2012,ABLEKUMA SOUTH,P
NANA AKUFO-ADDO,NPP,24887,2012,ABLEKUMA SOUTH,P
PAA KWESI NDUOM,PPP,386,2012,ABLEKUMA SOUTH,P
AKWASI ADAE,UFP,3,2012,ABLEKUMA SOUTH,P
HASSAN AYARIGA,PNC,15,2012,ABLEKUMA SOUTH,P
ABU SAKARA,CPP,76,2012,ABLEKUMA SOUTH,P
JACOB OSEI YEBOAH,IND,12,2012,ABLEKUMA SOUTH,P
FREDERIC FRITZ BAFFOUR,NDC,33540,2012,ABLEKUMA SOUTH,M
NOEL JOSEPH NARH,NPP,23506,2012,ABLEKUMA SOUTH,M
DEDE ESI AMANOR-WILKS,CPP,1131,2012,ABLEKUMA SOUTH,M
DANIEL NII AMASAH KOTEY,PPP,775,2012,ABLEKUMA SOUTH,M
GODFRED A KENNEDY,PNC,546,2012,ABLEKUMA SOUTH,M
SYLVIA NAA AKUSHIA CODJOE,NDP,158,2012,ABLEKUMA SOUTH,M
GOODMAN BAAH,DPP,47,2012,ABLEKUMA SOUTH,M
JOHN MAHAMA,NDC,25185,2012,ABLEKUMA WEST,P
HENRY LARTEY,GCPP,56,2012,ABLEKUMA WEST,P
NANA AKUFO-ADDO,NPP,36383,2012,ABLEKUMA WEST,P
PAA KWESI NDUOM,PPP,301,2012,ABLEKUMA WEST,P
AKWASI ADAE,UFP,7,2012,ABLEKUMA WEST,P
HASSAN AYARIGA,PNC,14,2012,ABLEKUMA WEST,P
ABU SAKARA,CPP,59,2012,ABLEKUMA WEST,P
JACOB OSEI YEBOAH,IND,6,2012,ABLEKUMA WEST,P
URSULA OWUSU,NPP,36975,2012,ABLEKUMA WEST,M
VICTORIA HAMMAAH,NDC,26153,2012,ABLEKUMA WEST,M
PERRY SENYO AHIADZRO,PPP,291,2012,ABLEKUMA WEST,M
DANIEL O NOYE,PNC,55,2012,ABLEKUMA WEST,M
MAGNUS ASIAMAH BEKOE,NDP,40,2012,ABLEKUMA WEST,M
JOHN MAHAMA,NDC,22794,2012,ADA,P
HENRY LARTEY,GCPP,93,2012,ADA,P
NANA AKUFO-ADDO,NPP,3573,2012,ADA,P
PAA KWESI NDUOM,PPP,93,2012,ADA,P
AKWASI ADAE,UFP,7,2012,ADA,P
HASSAN AYARIGA,PNC,53,2012,ADA,P
ABU SAKARA,CPP,132,2012,ADA,P
JACOB OSEI YEBOAH,IND,100,2012,ADA,P
COMFORT DOYOE CUDJOE GHANSAH,NDC,19749,2012,ADA,M
EMMANUEL TETTEH KABU,IND,5298,2012,ADA,M
BETTY ATSUPE GORLEKU QUARSHIE,NPP,1824,2012,ADA,M
LESLIE TETTEH PLAHAR,CPP,13,2012,ADA,M
WILLIAM NARH SAPPOR,PPP,76,2012,ADA,M
JOHN MAHAMA,NDC,36451,2012,ADENTA,P
HENRY LARTEY,GCPP,43,2012,ADENTA,P
NANA AKUFO-ADDO,NPP,31419,2012,ADENTA,P
PAA KWESI NDUOM,PPP,297,2012,ADENTA,P
AKWASI ADAE,UFP,12,2012,ADENTA,P
HASSAN AYARIGA,PNC,11,2012,ADENTA,P
ABU SAKARA,CPP,84,2012,ADENTA,P
JACOB OSEI YEBOAH,IND,27,2012,ADENTA,P
EMMANUEL NII ASHIE MOORE,NDC,35409,2012,ADENTA,M
ASIAM EWURABENA FRANCES,NPP,30805,2012,ADENTA,M
MOHAMMED NNABAALE IDDRISU,IND,438,2012,ADENTA,M
DENNIS OWUSU-APPIAH OFOSUAPEA,PPP,395,2012,ADENTA,M
MAMSHIE OMAR BAWA,CPP,183,2012,ADENTA,M
HUMMI SINARE,PNC,108,2012,ADENTA,M
EASTWOOD RICHARD KORANTENG,NDP,101,2012,ADENTA,M
JOHN MAHAMA,NDC,34899,2012,AMASAMAN,P
HENRY LARTEY,GCPP,87,2012,AMASAMAN,P
NANA AKUFO-ADDO,NPP,22200,2012,AMASAMAN,P
PAA KWESI NDUOM,PPP,206,2012,AMASAMAN,P
AKWASI ADAE,UFP,35,2012,AMASAMAN,P
HASSAN AYARIGA,PNC,14,2012,AMASAMAN,P
ABU SAKARA,CPP,54,2012,AMASAMAN,P
JACOB OSEI YEBOAH,IND,28,2012,AMASAMAN,P
EMMANUEL NII OKAI LARYEA,NDC,29724,2012,AMASAMAN,M
CLEMENT NII LAMPTEY WIKINSON,NPP,21761,2012,AMASAMAN,M
LEWIS KWAME SASU,IND,2684,2012,AMASAMAN,M
WILLIAM KWSI AHAMAZIE,IND,482,2012,AMASAMAN,M
THELMA LAMPTEY,PPP,206,2012,AMASAMAN,M
DESMOND TWUMASI NTOW,PNC,57,2012,AMASAMAN,M
AMOS ABUTU ATINDABIRE,CPP,54,2012,AMASAMAN,M
AKWASI AMOATENG ASAMOAH,NDP,14,2012,AMASAMAN,M
JOHN MAHAMA,NDC,29312,2012,ANYAA/SOWUTUOM,P
HENRY LARTEY,GCPP,59,2012,ANYAA/SOWUTUOM,P
NANA AKUFO-ADDO,NPP,51854,2012,ANYAA/SOWUTUOM,P
PAA KWESI NDUOM,PPP,344,2012,ANYAA/SOWUTUOM,P
AKWASI ADAE,UFP,16,2012,ANYAA/SOWUTUOM,P
HASSAN AYARIGA,PNC,13,2012,ANYAA/SOWUTUOM,P
ABU SAKARA,CPP,67,2012,ANYAA/SOWUTUOM,P
JACOB OSEI YEBOAH,IND,10,2012,ANYAA/SOWUTUOM,P
SHIRLEY AYORKOR BOTCHWAY,NPP,51198,2012,ANYAA/SOWUTUOM,M
SEDINA CHRISTINE TAMAKLOE ATTIONU,NDC,29536,2012,ANYAA/SOWUTUOM,M
RUTH QUAYE,PPP,568,2012,ANYAA/SOWUTUOM,M
ERNEST APPAH AFRAM,CPP,430,2012,ANYAA/SOWUTUOM,M
EMMANUEL ASHALLEY,NDP,218,2012,ANYAA/SOWUTUOM,M
JOHN MAHAMA,NDC,60178,2012,ASHIAMAN,P
HENRY LARTEY,GCPP,90,2012,ASHIAMAN,P
NANA AKUFO-ADDO,NPP,33725,2012,ASHIAMAN,P
PAA KWESI NDUOM,PPP,266,2012,ASHIAMAN,P
AKWASI ADAE,UFP,17,2012,ASHIAMAN,P
HASSAN AYARIGA,PNC,55,2012,ASHIAMAN,P
ABU SAKARA,CPP,57,2012,ASHIAMAN,P
JACOB OSEI YEBOAH,IND,32,2012,ASHIAMAN,P
ALFRED KWAME AGBESI,NDC,47154,2012,ASHIAMAN,M
SEJI SAJI AMEDONU,NPP,32650,2012,ASHIAMAN,M
AFENYO TONY,IND,13864,2012,ASHIAMAN,M
CLEMENCE AMEEVOR,PPP,402,2012,ASHIAMAN,M
